Date,Year,Month,Day,Start Time,End Time,Duration,MaxPfu,Region,Location,Flare Maximum (UTC),Type IIRadio Emission,Type IV,Linear Speed,Imagery/Misc
12/2/1994,1995,0,2,8:25,12:10,3:45,62,7912,S09W55,"M1/0F  
        10/20 0607",Yes,Yes,N/A,N/A
4/1/1997,1997,4,1,11:00,13:00,2:00,67,8100,S14W33,"X2/2B  
        11/04 0558",Yes,Yes,785 km/s,C2
7/1/1997,1997,7,1,1:35,1:50,0:15,490,8100,S18W63,"X9/2B  
        11/06 1155",N/A,N/A,"1300  
        km/s",C2
1/2/1998,1998,1,2,1:45,11:45,10:00,161,8210,S20W100,"M1/N/A  
        04/20 1021",Yes,No,"1863  
        km/s",C2
2/1/1998,1998,2,1,14:15,16:55,2:40,149,8210,S15W15,"X1/3B  
        05/02 1342",No,Yes,"938  
        km/s",C2
6/1/1998,1998,6,1,12:00,9:45,21:45,239,8210,S11W65,"X2/1N  
        05/06 0809",Yes,Yes,"1099  
        km/s",C2
12/1/1997,1998,0,1,20:55,2:00,5:05,12,8210,S17W100,"M7/N/A  
        05/09 0340",Yes,Yes,"2331  
        km/s",C2
6/2/1998,1998,6,2,23:55,10:55,11:00,665,8307,N35E09,"X1/3B  
        08/24 2213",Yes,Yes,N/A,N/A
5/2/1998,1998,5,2,23:55,13:00,13:05,44,8340,N18E09,"M6/3B  
        09/23 0713",Yes,Yes,N/A,N/A
1/1/1998,1998,1,1,15:20,2:50,11:30,1160,8340,N23W80,"M2/2N  
        09/30 1350",Yes,Yes,N/A,N/A
4/1/1998,1998,4,1,9:00,12:45,3:45,314,8385,N28W100,"C1/N/A  
        11/14 0508",No,Yes,N/A,N/A
3/2/1999,1999,3,2,10:00,11:35,1:35,14,8421,N27W100,"M5/N/A 01/20  
        2024",Yes,Yes,N/A,N/A
5/2/1999,1999,5,2,18:20,5:50,11:30,31,8517,N22W130,N/A,No,No,"1495  
        km/s",C2
5/1/1999,1999,5,1,18:20,19:55,1:35,14,8525,N15E32,"M4/2N  
        05/03 0602",Yes,Yes,"1584  
        km/s",C2
2/1/1999,1999,2,1,22:00,10:10,12:10,48,N/A,N00W100,N/A,No,No,"1772  
        km/s",C2
4/1/1999,1999,4,1,9:25,10:55,1:30,64,8552,N17W69,"M3/2B  
        06/04 0703",Yes,Yes,"2230  
        km/s",C2
8/1/2000,2000,8,1,11:15,12:15,1:00,13,8858,N00W120,N/A,Yes,No,"890  
        km/s",C2
5/1/2000,2000,5,1,20:55,9:00,12:05,55,8933,N16W66,"C9/2F  
        04/04 1541",Yes,Yes,"1188  
        km/s",C2
